"","country","region","year","co2","population","gdp","tpes"
"58","Turkmenistan","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"59","Ukraine","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"60","Uzbekistan","Non-OECD Europe and Eurasia",1971,NA,NA,NA,NA
"61","Former Soviet Union (if no detail)","Non-OECD Europe and Eurasia",1971,1941.624495,243.219,1927.586,32168.6327
"62","Former Yugoslavia (if no detail)","Non-OECD Europe and Eurasia",1971,61.839479,20.008,135.977,917.5031
"63","Algeria","Africa",1971,8.592628,14.96,98.104,145.0501
"64","Angola","Africa",1971,1.617097,6.438,40.415,161.2231
"65","Benin","Africa",1971,0.304573,2.972,3.922,46.2632
"66","Botswana","Africa",1971,NA,NA,NA,NA
"67","Cameroon","Africa",1971,0.733802,6.949,12.993,112.842
"68","Congo","Africa",1971,0.573249,1.376,4.452,21.2907
"69","Côte d'Ivoire","Africa",1971,2.400924,5.488,23.394,102.7826
"70","Dem. Rep. of Congo","Africa",1971,2.576124,20.563,40.436,279.6336
"71","Egypt","Africa",1971,20.041392,35.561,106.578,326.5409
"72","Eritrea","Africa",1971,NA,NA,NA,NA
"73","Ethiopia","Africa",1971,1.307497,29.246,24.207,582.4172
"74","Gabon","Africa",1971,0.475163,0.602,8.039,44.8181
"75","Ghana","Africa",1971,1.914497,8.827,22.592,125.4544
"76","Kenya","Africa",1971,3.231489,11.657,20.722,221.5575
"77","Libya","Africa",1971,3.719851,2.208,136.649,65.7397
"78","Mauritius","Africa",1971,0.261379,0.839,2.462,15.2563
"79","Morocco","Africa",1971,6.576376,16.39,38.553,123.7042
"80","Mozambique","Africa",1971,2.933038,9.469,5.599,288.7281
"81","Namibia","Africa",1971,NA,NA,NA,NA
"82","Niger","Africa",1971,NA,NA,NA,NA
"83","Nigeria","Africa",1971,5.697527,57.454,224.096,1389.1562
"84","Senegal","Africa",1971,1.215315,4.348,8.965,51.9917
"85","South Africa","Africa",1971,157.092852,23.107,230.324,1902.0189
"86","South Sudan","Africa",1971,NA,NA,NA,NA
"87","Sudan","Africa",1971,3.2128,14.302,25.01,294.2411
"88","United Rep. of Tanzania","Africa",1971,1.402534,14.046,17.684,317.2197
"89","Togo","Africa",1971,0.343352,2.186,2.974,30.4277
"90","Tunisia","Africa",1971,3.71887,5.173,17.414,69.3192
"91","Zambia","Africa",1971,3.367565,4.331,14.487,147.0213
"92","Zimbabwe","Africa",1971,7.245769,5.385,13.486,227.7335
"93","Other Africa","Africa",1971,8.420465,69.266,100.816,944.7527
"94","Bangladesh","Asia",1971,2.879014,66.417,78.856,238.0559
"95","Brunei Darussalam","Asia",1971,0.397943,0.136,11.727,7.4215
"96","Cambodia","Asia",1971,NA,NA,NA,NA
"97","DPR of Korea","Asia",1971,69.219488,14.812,31.097,812.8049
"98","India","Asia",1971,181.011767,566.605,665.914,6356.3215
"99","Indonesia","Asia",1971,25.203516,117.922,251.752,1467.3263
"100","Malaysia","Asia",1971,12.794047,11.182,51.924,253.43
"101","Mongolia","Asia",1971,NA,NA,NA,NA
"102","Myanmar","Asia",1971,4.511458,27.837,23.649,330.9719
"103","Nepal","Asia",1971,0.190103,12.232,11.149,153.1417
"104","Pakistan","Asia",1971,15.867722,59.69,111.406,713.347
"105","Philippines","Asia",1971,23.011843,36.851,122.186,641.693
"106","Singapore","Asia",1971,6.056881,2.113,22.924,114.3154
"107","Sri Lanka","Asia",1971,2.756839,12.69,26.793,159.0103
"108","Chinese Taipei","Asia",1971,29.77582,14.899,61.448,418.7341
"109","Thailand","Asia",1971,16.237814,37.965,93.592,573.1444
"110","Viet Nam","Asia",1971,16.290362,43.725,52.212,553.5938
"111","Other Asia","Asia",1971,10.575467,27.757,42.416,237.0513
"112","People's Rep. of China","China",1971,780.165583,841.105,405.217,16372.7997
"113","Hong Kong, China","China",1971,9.225552,4.045,35.652,125.6653
"114","Argentina","Non-OECD Americas",1971,82.488748,24.366,277.003,1408.7802
"115","Bolivia","Non-OECD Americas",1971,2.182608,4.601,17.632,42.732
"116","Brazil","Non-OECD Americas",1971,87.451478,98.402,633.666,2921.6428
"117","Colombia","Non-OECD Americas",1971,26.673025,22.612,110.225,579.9444
"118","Costa Rica","Non-OECD Americas",1971,1.272787,1.898,11.07,33.8299
"119","Cuba","Non-OECD Americas",1971,20.806858,8.87,67.574,439.0973
"120","Curaçao","Non-OECD Americas",1971,14.508157,0.161,0.947,229.0221
"121","Dominican Republic","Non-OECD Americas",1971,3.48454,4.631,16.463,97.995
"122","Ecuador","Non-OECD Americas",1971,3.494019,6.249,31.576,93.6557
"123","El Salvador","Non-OECD Americas",1971,1.304062,3.765,20.121,73.3532
"124","Guatemala","Non-OECD Americas",1971,2.263409,5.578,25.853,114.4885
"125","Haiti","Non-OECD Americas",1971,0.378432,4.793,10.371,62.9852
"126","Honduras","Non-OECD Americas",1971,1.122811,2.766,7.449,58.1605
"127","Jamaica","Non-OECD Americas",1971,5.533377,1.9,14.715,84.1729
"128","Nicaragua","Non-OECD Americas",1971,1.485981,2.473,14.025,50.9754
"129","Panama","Non-OECD Americas",1971,2.485692,1.563,10.785,69.331
"130","Paraguay","Non-OECD Americas",1971,0.570965,2.535,7.502,57.2954
"131","Peru","Non-OECD Americas",1971,15.384767,13.704,90.934,382.1758
"132","Suriname","Non-OECD Americas",1971,NA,NA,NA,NA
"133","Trinidad and Tobago","Non-OECD Americas",1971,5.367126,0.956,12.092,110.4263
"134","Uruguay","Non-OECD Americas",1971,5.097208,2.818,22.282,101.1877
"135","Venezuela","Non-OECD Americas",1971,45.900134,11.938,201.656,747.7665
"136","Other Non-OECD Americas","Non-OECD Americas",1971,8.183294,2.604,17.519,203.3734
"137","Bahrain","Middle East",1971,2.892664,0.221,4.878,58.9851
"138","Islamic Rep. of Iran","Middle East",1971,38.888772,29.281,501.616,695.0448
"139","Iraq","Middle East",1971,10.3144,10.256,42.397,168.1179
"140","Jordan","Middle East",1971,1.351009,1.74,8.839,20.6133
"141","Kuwait","Middle East",1971,14.033954,0.808,116.521,256.3257
"142","Lebanon","Middle East",1971,4.580125,2.354,31.388,77.3842
"143","Oman","Middle East",1971,0.256345,0.749,15.543,3.5553
"144","Qatar","Middle East",1971,2.239888,0.119,34.129,38.767
"145","Saudi Arabia","Middle East",1971,12.67469,6.096,238.699,308.0686
"146","Syrian Arab Republic","Middle East",1971,5.432526,6.599,17.821,99.5679
"147","United Arab Emirates","Middle East",1971,2.462499,0.275,35.665,42.3687
"148","Yemen","Middle East",1971,1.202213,6.263,9.179,30.7855
"149","Canada","OECD Americas",1972,357.82722,22.218,486.424,6384.6684
"150","Chile","OECD Americas",1972,20.635647,9.905,61.322,370.0448
"151","Mexico","OECD Americas",1972,106.422546,55.24,507.693,1990.237
"152","United States","OECD Americas",1972,4526.993907,209.924,5197.055,69784.8992
"153","Australia","OECD Asia Oceania",1972,148.414983,13.409,289.479,2226.2017
"154","Israel","OECD Asia Oceania",1972,14.432018,3.225,46.185,231.4852
"155","Japan","OECD Asia Oceania",1972,788.495439,106.416,1669.324,11969.0315
"156","Korea","OECD Asia Oceania",1972,54.846542,33.505,95.252,773.3073
"157","New Zealand","OECD Asia Oceania",1972,15.470001,2.913,57.49,318.1957
"158","Austria","OECD Europe",1972,50.39573,7.544,146.12,829.8677
"159","Belgium","OECD Europe",1972,127.906195,9.696,192.024,1819.0325
"160","Czech Republic","OECD Europe",1972,152.514368,9.868,144.825,1906.1282
"161","Denmark","OECD Europe",1972,57.384064,4.992,119.618,806.4
"162","Estonia","OECD Europe",1972,NA,NA,NA,NA
"163","Finland","OECD Europe",1972,43.594364,4.64,78.403,813.5634
"164","France","OECD Europe",1972,438.602493,52.902,1019.053,7008.4429
"165","Germany","OECD Europe",1972,1001.621661,78.715,1550.535,13235.2309
"166","Greece","OECD Europe",1972,28.935668,8.981,146.57,422.3097
"167","Hungary","OECD Europe",1972,62.116734,10.394,110.107,818.7188
"168","Iceland","OECD Europe",1972,1.49751,0.209,3.638,38.5618
"169","Ireland","OECD Europe",1972,21.392579,3.024,35.757,279.0254
"170","Italy","OECD Europe",1972,306.427161,54.381,981.447,4669.1982
"171","Latvia","OECD Europe",1972,NA,NA,NA,NA
"172","Luxembourg","OECD Europe",1972,16.097663,0.347,10.307,174.2763
"173","Netherlands","OECD Europe",1972,142.44408,13.33,296.51,2444.8033
"174","Norway","OECD Europe",1972,23.552003,3.933,92.134,576.8993
"175","Poland","OECD Europe",1972,299.590842,33.07,307.337,3728.0733
"176","Portugal","OECD Europe",1972,14.544468,8.715,106.447,269.3
"177","Slovak Republic","OECD Europe",1972,39.303738,4.596,54.234,620.5632
"178","Slovenia","OECD Europe",1972,NA,NA,NA,NA
"179","Spain","OECD Europe",1972,124.95405,34.934,539.347,1877.1051
"180","Sweden","OECD Europe",1972,82.141454,8.122,175.849,1539.5445
"181","Switzerland","OECD Europe",1972,39.374607,6.401,232.897,715.0271
"182","Turkey","OECD Europe",1972,49.051544,37.132,272.8,924.1343
"183","United Kingdom","OECD Europe",1972,602.101379,56.097,991.749,8801.0081
"184","Albania","Non-OECD Europe and Eurasia",1972,4.447633,2.243,8.143,81.2923
"185","Armenia","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"186","Azerbaijan","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"187","Belarus","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"188","Bosnia and Herzegovina","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"189","Bulgaria","Non-OECD Europe and Eurasia",1972,65.883302,8.576,36.965,812.495
"190","Croatia","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"191","Cyprus","Non-OECD Europe and Eurasia",1972,2.169599,0.623,3.916,31.2535
"192","FYR of Macedonia","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"193","Georgia","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"194","Gibraltar","Non-OECD Europe and Eurasia",1972,0.059208,0.026,0.387,1.025
"195","Kazakhstan","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"196","Kosovo","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"197","Kyrgyzstan","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"198","Lithuania","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"199","Malta","Non-OECD Europe and Eurasia",1972,0.827991,0.302,1.555,11.0552
"200","Republic of Moldova","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"201","Montenegro","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"202","Romania","Non-OECD Europe and Eurasia",1972,118.321184,20.658,117.879,1843.6709
"203","Russian Federation","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"204","Serbia","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"205","Tajikistan","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"206","Turkmenistan","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"207","Ukraine","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"208","Uzbekistan","Non-OECD Europe and Eurasia",1972,NA,NA,NA,NA
"209","Former Soviet Union (if no detail)","Non-OECD Europe and Eurasia",1972,2054.729892,245.713,2017.835,33921.2184
"210","Former Yugoslavia (if no detail)","Non-OECD Europe and Eurasia",1972,61.014206,20.199,140.793,905.1864
"211","Algeria","Africa",1972,9.639937,15.377,125.008,168.3335
"212","Angola","Africa",1972,2.404849,6.588,41.018,173.5688
"213","Benin","Africa",1972,0.399716,3.039,4.174,48.4581
"214","Botswana","Africa",1972,NA,NA,NA,NA
"215","Cameroon","Africa",1972,0.7697,7.134,13.34,115.3427
"216","Congo","Africa",1972,0.605454,1.419,4.835,22.053
"217","Côte d'Ivoire","Africa",1972,2.652036,5.748,24.385,109.0693
"218","Dem. Rep. of Congo","Africa",1972,2.642598,21.121,40.497,286.8592
"219","Egypt","Africa",1972,22.528811,36.302,108.741,360.1214
"220","Eritrea","Africa",1972,NA,NA,NA,NA
"221","Ethiopia","Africa",1972,1.207353,30.135,24.697,597.8738
"222","Gabon","Africa",1972,0.472347,0.613,8.951,45.106
"223","Ghana","Africa",1972,2.006716,9.084,22.03,132.7027
"224","Kenya","Africa",1972,3.384807,12.083,24.261,231.6872
"225","Libya","Africa",1972,5.404376,2.307,118.752,92.0108
"226","Mauritius","Africa",1972,0.290045,0.852,2.667,15.5332
"227","Morocco","Africa",1972,7.228481,16.741,39.493,133.2685
"228","Mozambique","Africa",1972,2.655743,9.68,5.782,283.2943
"229","Namibia","Africa",1972,NA,NA,NA,NA
"230","Niger","Africa",1972,NA,NA,NA,NA
"231","Nigeria","Africa",1972,6.842799,58.829,231.635,1437.9241
"232","Senegal","Africa",1972,1.250408,4.485,9.537,52.7392
"233","South Africa","Africa",1972,162.873103,23.736,234.135,1934.0795
"234","South Sudan","Africa",1972,NA,NA,NA,NA
"235","Sudan","Africa",1972,3.407,14.742,23.741,299.3572
"236","United Rep. of Tanzania","Africa",1972,1.639036,14.506,18.867,320.1104
"237","Togo","Africa",1972,0.359256,2.248,3.2,31.2456
"238","Tunisia","Africa",1972,4.138111,5.288,20.503,75.7506
"239","Zambia","Africa",1972,3.780605,4.484,15.821,156.6972
"240","Zimbabwe","Africa",1972,6.866982,5.573,14.609,231.9865
"241","Other Africa","Africa",1972,8.333787,70.769,101.666,977.6642
"242","Bangladesh","Asia",1972,2.879014,67.578,67.837,245.8834
"243","Brunei Darussalam","Asia",1972,0.385448,0.142,12.662,7.3458
"244","Cambodia","Asia",1972,NA,NA,NA,NA
"245","DPR of Korea","Asia",1972,71.545211,15.215,35.296,843.7724
"246","India","Asia",1972,188.240434,579.801,662.23,6503.344
"247","Indonesia","Asia",1972,28.336515,121.06,269.47,1527.4389
"248","Malaysia","Asia",1972,12.593818,11.46,56.796,256.5093
"249","Mongolia","Asia",1972,NA,NA,NA,NA
"250","Myanmar","Asia",1972,4.393171,28.517,24.225,336.6159
"251","Nepal","Asia",1972,0.259541,12.488,11.497,157.3601
"252","Pakistan","Asia",1972,15.995279,61.341,112.313,732.3685
"253","Philippines","Asia",1972,24.003213,37.925,128.842,645.4761
"254","Singapore","Asia",1972,7.21921,2.152,26.025,141.4355
"255","Sri Lanka","Asia",1972,3.389691,12.861,26.683,169.3721
"256","Chinese Taipei","Asia",1972,33.859184,15.203,70.186,481.3356
"257","Thailand","Asia",1972,18.267873,39.062,97.597,601.6229
"258","Viet Nam","Asia",1972,15.899221,44.758,47.204,558.7258
"259","Other Asia","Asia",1972,10.3996,28.482,42.372,236.5518
"260","People's Rep. of China","China",1972,831.369123,862.03,420.655,17221.7211
"261","Hong Kong, China","China",1972,9.555338,4.124,39.436,131.3174
"262","Argentina","Non-OECD Americas",1972,83.538717,24.783,281.514,1431.7174
"263","Bolivia","Non-OECD Americas",1972,2.396569,4.698,19.036,47.2351
"264","Brazil","Non-OECD Americas",1972,95.087922,100.844,710.041,3131.5365
"265","Colombia","Non-OECD Americas",1972,27.321236,23.147,118.683,580.4732
"266","Costa Rica","Non-OECD Americas",1972,1.423692,1.947,11.976,36.1287
"267","Cuba","Non-OECD Americas",1972,20.22703,9.025,70.835,422.8047
"268","Curaçao","Non-OECD Americas",1972,14.106481,0.164,0.971,223.5428
"269","Dominican Republic","Non-OECD Americas",1972,4.571108,4.76,18.174,114.2669
"270","Ecuador","Non-OECD Americas",1972,3.52061,6.429,33.161,97.0582
"271","El Salvador","Non-OECD Americas",1972,1.522103,3.862,21.352,78.4192
"272","Guatemala","Non-OECD Americas",1972,2.4923,5.738,27.749,118.0651
"273","Haiti","Non-OECD Americas",1972,0.355844,4.877,10.514,64.8879
"274","Honduras","Non-OECD Americas",1972,1.158073,2.845,7.878,59.4766
"275","Jamaica","Non-OECD Americas",1972,6.082098,1.93,17.365,107.3617
"276","Nicaragua","Non-OECD Americas",1972,1.52625,2.55,14.337,52.0921
"277","Panama","Non-OECD Americas",1972,2.659628,1.608,11.279,78.0666
"278","Paraguay","Non-OECD Americas",1972,0.630695,2.597,8,58.773
"279","Peru","Non-OECD Americas",1972,15.397585,14.072,94.097,382.2689
"280","Suriname","Non-OECD Americas",1972,NA,NA,NA,NA
"281","Trinidad and Tobago","Non-OECD Americas",1972,5.470891,0.969,12.791,112.4662
"282","Uruguay","Non-OECD Americas",1972,5.56545,2.821,21.988,103.1241
"283","Venezuela","Non-OECD Americas",1972,47.390948,12.286,204.243,723.3565
"284","Other Non-OECD Americas","Non-OECD Americas",1972,9.481149,2.627,17.627,212.5944
"285","Bahrain","Middle East",1972,3.300077,0.23,4.977,57.2919
"286","Islamic Rep. of Iran","Middle East",1972,43.001854,30.074,574.345,681.8112
"287","Iraq","Middle East",1972,11.492081,10.6,43.981,179.5034
"288","Jordan","Middle East",1972,1.501659,1.812,9.348,22.5932
"289","Kuwait","Middle East",1972,15.453941,0.867,121.649,283.1543
"290","Lebanon","Middle East",1972,4.982955,2.417,35.208,79.8916
"291","Oman","Middle East",1972,0.262702,0.776,17.07,3.6424
"292","Qatar","Middle East",1972,2.469147,0.13,38.532,42.634
"293","Saudi Arabia","Middle East",1972,14.405323,6.382,287.307,261.7078
"294","Syrian Arab Republic","Middle East",1972,5.141212,6.829,22.282,82.8782
"295","United Arab Emirates","Middle East",1972,2.584734,0.324,41.288,44.0078
"296","Yemen","Middle East",1972,1.454099,6.371,9.955,24.1383
"297","Canada","OECD Americas",1973,375.568472,22.492,520.3,6671.4889
"298","Chile","OECD Americas",1973,20.000008,10.074,58.289,355.8983
"299","Mexico","OECD Americas",1973,117.601055,57.085,550.385,2200.4087
"300","United States","OECD Americas",1973,4690.048138,211.939,5490.332,72429.1746
"301","Australia","OECD Asia Oceania",1973,157.722343,13.614,301.338,2388.8185
"302","Israel","OECD Asia Oceania",1973,15.653873,3.278,48.765,325.0521
"303","Japan","OECD Asia Oceania",1973,897.450914,108.902,1803.414,13413.1951
"304","Korea","OECD Asia Oceania",1973,68.225806,34.103,109.375,902.7473
"305","New Zealand","OECD Asia Oceania",1973,16.696424,2.971,61.974,330.0509
"306","Austria","OECD Europe",1973,53.795234,7.586,153.262,899.1525
"307","Belgium","OECD Europe",1973,133.016621,9.725,203.781,1925.4489
"308","Czech Republic","OECD Europe",1973,149.443417,9.922,149.674,1890.7245
"309","Denmark","OECD Europe",1973,56.233663,5.022,124.514,795.1344
"310","Estonia","OECD Europe",1973,NA,NA,NA,NA
"311","Finland","OECD Europe",1973,47.906848,4.666,83.878,880.594
"312","France","OECD Europe",1973,474.189074,53.327,1083.36,7541.9052
"313","Germany","OECD Europe",1973,1052.225151,78.956,1624.612,14013.0667
"314","Greece","OECD Europe",1973,33.72301,9.022,158.43,494.506
"315","Hungary","OECD Europe",1973,66.425309,10.426,119.218,890.7329
"316","Iceland","OECD Europe",1973,1.665647,0.212,3.885,46.8374
"317","Ireland","OECD Europe",1973,20.822976,3.073,37.445,289.2163
"318","Italy","OECD Europe",1973,327.96215,54.751,1051.383,4987.1687
"319","Latvia","OECD Europe",1973,NA,NA,NA,NA
"320","Luxembourg","OECD Europe",1973,17.42672,0.351,11.163,185.5878
"321","Netherlands","OECD Europe",1973,148.387847,13.438,313.661,2595.7841
"322","Norway","OECD Europe",1973,23.361461,3.96,96.31,598.3058
"323","Poland","OECD Europe",1973,312.803896,33.371,330.095,3888.597
"324","Portugal","OECD Europe",1973,16.18567,8.718,118.37,288.7395
"325","Slovak Republic","OECD Europe",1973,40.98293,4.641,56.044,649.7075
"326","Slovenia","OECD Europe",1973,NA,NA,NA,NA
"327","Spain","OECD Europe",1973,139.325556,35.25,581.353,2159.2182
"328","Sweden","OECD Europe",1973,83.528076,8.137,182.827,1626.2042
"329","Switzerland","OECD Europe",1973,42.971071,6.441,240,791.7012
"330","Turkey","OECD Europe",1973,52.750755,38.072,281.698,1019.6897
"331","United Kingdom","OECD Europe",1973,634.089908,56.223,1056.372,9130.2092
"332","Albania","Non-OECD Europe and Eurasia",1973,3.92474,2.297,9.036,73.344
"333","Armenia","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"334","Azerbaijan","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"335","Belarus","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"336","Bosnia and Herzegovina","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"337","Bulgaria","Non-OECD Europe and Eurasia",1973,67.739457,8.621,39.926,858.4132
"338","Croatia","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"339","Cyprus","Non-OECD Europe and Eurasia",1973,2.274639,0.632,4.232,32.7387
"340","FYR of Macedonia","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"341","Georgia","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"342","Gibraltar","Non-OECD Europe and Eurasia",1973,0.05898,0.026,0.414,1.1884
"343","Kazakhstan","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"344","Kosovo","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"345","Kyrgyzstan","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"346","Lithuania","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"347","Malta","Non-OECD Europe and Eurasia",1973,0.794112,0.302,1.619,10.6848
"348","Republic of Moldova","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"349","Montenegro","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"350","Romania","Non-OECD Europe and Eurasia",1973,129.090859,20.836,130.163,2002.7468
"351","Russian Federation","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"352","Serbia","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"353","Tajikistan","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"354","Turkmenistan","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"355","Ukraine","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"356","Uzbekistan","Non-OECD Europe and Eurasia",1973,NA,NA,NA,NA
"357","Former Soviet Union (if no detail)","Non-OECD Europe and Eurasia",1973,2189.433567,248.042,2197.862,35530.4369
"358","Former Yugoslavia (if no detail)","Non-OECD Europe and Eurasia",1973,66.348867,20.392,144.469,972.7985
"359","Algeria","Africa",1973,10.992688,15.804,129.775,201.9027
"360","Angola","Africa",1973,2.198323,6.75,43.815,172.9436
"361","Benin","Africa",1973,0.409432,3.11,4.328,49.5018
"362","Botswana","Africa",1973,NA,NA,NA,NA
"363","Cameroon","Africa",1973,0.797659,7.328,14.055,117.8878
"364","Congo","Africa",1973,0.599186,1.464,5.233,22.2973
"365","Côte d'Ivoire","Africa",1973,2.709713,6.021,25.833,112.6701
"366","Dem. Rep. of Congo","Africa",1973,2.62175,21.691,43.792,296.8756
"367","Egypt","Africa",1973,20.688065,37.047,109.507,335.2807
"368","Eritrea","Africa",1973,NA,NA,NA,NA
"369","Ethiopia","Africa",1973,1.298289,31.029,25.001,616.1932
"370","Gabon","Africa",1973,0.610294,0.625,9.862,60.4653
"371","Ghana","Africa",1973,2.079026,9.35,22.666,140.8773
"372","Kenya","Africa",1973,3.538416,12.53,25.692,237.8797
"373","Libya","Africa",1973,5.784551,2.409,119.961,108.7776
"374","Mauritius","Africa",1973,0.327837,0.865,2.987,15.8962
